"Reference","Qty","Value","Description","Footprint","LCSC","Digikey","Mouser","Other"
"C1,C3,C5,C6,C7,C8","6","100nF","Unpolarized capacitor","Capacitor_SMD:C_0805_2012Metric","C49678","","",""
"C2,C4","2","22pF","Unpolarized capacitor","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","C107114","","",""
"D1","1","1N914","Schottky diode","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","","1N914FS-ND","",""
"J1","1","PORT B","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector","","2057-BHR-12-VUA-ND","","https://www.amazon.com/uxcell-2-54mm-2x6-Pin-Straight-Connector/dp/B07DJYVZV2"
"J2","1","PORT A","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector","","2057-BHR-12-VUA-ND","","https://www.amazon.com/uxcell-2-54mm-2x6-Pin-Straight-Connector/dp/B07DJYVZV2"
"J3","1","PS/2 KEYBOARD","6-pin Mini-DIN connector","6502 Parts:KMDGX-6S-BS","","","806-KMDGX-6S-BS","https://www.amazon.com/dp/B08GS3QL7T"
"J4","1","6502 Bus","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 Bus Connector","","","","https://www.amazon.com/Female-Headers-Connector-Header-Raspberry/dp/B07DNHS2SJ"
"J5","1","KEYBOARD","25-pin D-SUB connector, pins (male), Mounting Hole","Connector_Dsub:DSUB-25_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","","609-1505-ND","",""
"J6","1","IO SELECT","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","","","","https://www.amazon.com/Uxcell-Double-Straight-Header-Strip/dp/B00X77A472"
"R1","1","1K","Resistor","Resistor_SMD:R_0805_2012Metric","C17513","","",""
"U1","1","65C22","","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","","","955-W65C22N6TPG-14",""
"U2","1","ATmega1284-P","20MHz, 128kB Flash, 16kB SRAM, 4kB EEPROM, JTAG, DIP-40","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","","ATMEGA1284-PU-ND","556-ATMEGA1284-PU",""
"U3","1","74HC138","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C5602","","",""
"Y1","1","16 MHz","Two pin crystal","Crystal:Crystal_HC49-U_Vertical","","3155-16M20P2/49US-ND","",""
