"Reference","Qty","Value","Description","Footprint","LCSC","Mouser","Digikey"
"C1,C3,C4,C5,C6,C7,C8,C9,C10,C11","10","100nF","Unpolarized capacitor","Capacitor_SMD:C_0805_2012Metric","C49678","",""
"C2","1","10uF","Polarized capacitor","Capacitor_SMD:C_1206_3216Metric","C7171","",""
"D1","1","1N5819","40V 1A Schottky Barrier Rectifier Diode, DO-41","Diode_SMD:D_SOD-323F","C191023","",""
"D2","1","LED","Light emitting diode","LED_SMD:LED_0805_2012Metric","C2297","",""
"J1","1","PWR_SW","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","","455-2247-ND"
"J2","1","Conn_02x01","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"J3","1","USB_C_Receptacle_USB2.0","USB 2.0-only 16P Type-C Receptacle connector","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C2988369","",""
"J4","1","RESET_SW","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","","455-2247-ND"
"J5","1","Conn_02x02_Odd_Even","","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","","",""
"J6","1","CLOCK_ENBL_SW","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","","455-2247-ND"
"J7","1","Conn_01x02","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","",""
"J8","1","Conn_02x05_Odd_Even","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","","",""
"J9","1","6502 Card Connector","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:RHDR40W82P485X254_2X20_5740X93","","571-5-5530843-4","A31723-ND"
"J10","1","6502 Bus","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 Bus Connector","","",""
"JP1,JP2,JP3,JP4,JP5,JP6","6","SolderJumper_2_Open","Solder Jumper, 2-pole, open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","","",""
"Q1","1","SS8050","NPN transistor, base/emitter/collector","Package_TO_SOT_SMD:SOT-23","C2150","",""
"R1,R4,R9,R10,R11,R12,R13,R14","8","1k","Resistor","Resistor_SMD:R_0805_2012Metric","C17513","",""
"R2","1","1M","Resistor","Resistor_SMD:R_0805_2012Metric","C17514","",""
"R3","1","47k","Resistor","Resistor_SMD:R_0805_2012Metric","C17713","",""
"R5,R6","2","5.1k","Resistor","Resistor_SMD:R_0805_2012Metric","C27834","",""
"R7","1","330","Resistor","Resistor_SMD:R_0805_2012Metric","C17630","",""
"R8","1","10k","Resistor","Resistor_SMD:R_0805_2012Metric","C17414","",""
"SW1","1","Reset","Push button switch, generic, two pins","6502 Parts:SW_TS-1187A-B-A-B","C318884","",""
"U1","1","LM555xM","Timer, 555 compatible, SOIC-8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C7593","",""
"U2","1","AS6C62256","","Package_DIP:DIP-28_W15.24mm_Socket_LongPads","","",""
"U3","1","AT28C256","","Socket:DIP_Socket-28_W11.9mm_W12.7mm_W15.24mm_W17.78mm_W18.5mm_3M_228-1277-00-0602J","","",""
"U4,U5,U7","3","74HC00","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C5586","",""
"U6","1","65C02","","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","","",""
"X1","1","OCXO-14","Voltage-Controlled Crystal Clock Oscillator, DIP14-style metal package","Oscillator:Oscillator_DIP-14","","",""
