"Reference","Qty","Value","Description","Footprint","LCSC","Digikey","Mouser","Other"
"C1","1","1uF","","Capacitor_SMD:C_0805_2012Metric","C28323","","",""
"C2,C3","2","2.2nF","","Capacitor_SMD:C_0805_2012Metric","C28260","","",""
"C5,C6,C7,C8,C9,C10","6","100nF","Unpolarized capacitor","Capacitor_SMD:C_0805_2012Metric","C49678","","",""
"D1","1","1N914","Schottky diode","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","","1N914FS-ND","",""
"J1","1","VDD","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","455-2247-ND","",""
"J2","1","AUDIO","RCA Connector","6502 Parts:SWITCHCRAFT_PJRAN1X1U02X","","PJRAN1X1U02X-ND","",""
"J6","1","INT Select","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B0FRZW75VS"
"J7","1","IO SELECT","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","","","","https://www.amazon.com/Uxcell-Double-Straight-Header-Strip/dp/B00X77A472"
"J8","1","6502 Bus","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 Bus Connector","","","","https://www.amazon.com/Female-Headers-Connector-Header-Raspberry/dp/B07DNHS2SJ"
"R1","1","1k","Resistor","Resistor_SMD:R_0805_2012Metric","C17513","","",""
"U1","1","Pico9918A","","Socket:DIP_Socket-40_W11.9mm_W12.7mm_W15.24mm_W17.78mm_W18.5mm_3M_240-1280-00-0602J","","","","https://www.tindie.com/products/visrealm/pico9918-pro/"
"U2","1","6581","","Socket:DIP_Socket-28_W11.9mm_W12.7mm_W15.24mm_W17.78mm_W18.5mm_3M_228-1277-00-0602J","","","","https://retrocomp.cz/produkt?id=2"
"U3,U4","2","74HC138","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C5602","","",""
